iter	Passed	Remaining
0	222	222340
1	299	149302
2	371	123561
3	432	10761444	480	9569155	551	9144566	608	8629577	655	8127788	697	7684499	740	73301110	794	71429
11	849	69938
12	880	66828113	920	64859114	969	63642115	1003	61721616	1057	61141717	1108	60461818	1150	59381919	1198	58752020	1254	58472121	1296	57622222	1340	56922323	1388	56422424	1429	55722525	1475	55222626	1521	54822727	1576	54722828	1616	54122929	1657	53533030	1713	53553131	1756	531332	1798	52702333	1846	52460334	1887	52038335	1941	51985336	1980	51551337	2027	5133038	2077	51190
39	2128	51082
40	2175	50883
41	2229	50856
42	2272	50586
43	2321	50438
44	2373	50379
45	2431	50420
46	2486	50420
47	2527	50131
48	2569	49878
49	2618	49757
50	2665	49596
51	2721	49618
52	2777	49628
53	2818	49377
54	2872	49349
55	2935	49480
56	3010	49803
57	3073	49912
58	3147	50195
59	3192	50021
60	3265	50270
61	3318	50202
62	62	3374	50163	3433	50216
64	3500	50357
65	3547	50195
66	3618	50383
67	3670	50306
68	3715	50138
69	3755	49890
70	3804	49785
71	3845	49561
72	3896	49475
73	3945	49377
774	3991	4922875	4037	49088
776	4085	48971777	4140	48941778	4198	4894279	4247	48845
80	4288	48653
81	4337	48557
82	4377	48359
83	4442	48442
84	4489	48332
85	4544	48294
86	4606	48345
87	4667	48374
88	4726	48382
89	4784	48374
90	4832	48275
91	4895	48318
92	4944	48219
93	4989	48091
94	5028	47899
95	5076	47802
96	5128	47745
97	5167	47558
98	5201	47335
99	5243	47193
100	5276	46969
101	5315	46801
102	5353	46623
103	5402	46540
104	5457	46521
105	5533	46671
106	5575	46527
107	5622	46434
108	5665	46313
109	5695	46084
110	5754	46085
111	5789	45904
112	5823	45711
113	5864	45576
114	5908	45467
115	5956	45389
116	6012	45378
117	6057	45274
118	6096	45134
119	6140	45027
120	6183	44919
121	6239	44901
122	6283	44801
123	6321	44655
124	6363	44546
125	6406	44441
126	6443	44295
127	6489	44209
128	6529	44085
129	6571	43975
130	6611	43856
131	6656	43770
132	6713	43760
133	6753	43647
134	6795	43543
135	6839	43449
136	6875	43308
137	6922	43242
138	6968	43162
139	7027	43169
140	7074	43098
141	7122	43034
142	7191	43097
143	7246	43074
144	7307	43087
145	7369	43109
146	7420	43056
147	7472	43019
148	7516	42930
149	7569	42892
150	7607	42772
151	7642	42637
152	7688	42560
153	7743	42541
154	7801	42532
155	7852	42481
156	7895	42393
157	7944	42335
158	7973	42175
159	8021	42113
160	8063	42021
161	8095	41876
162	8151	41858
163	8186	41732
164	8235	41674
165	8280	41603
166	8323	41518
167	8358	41395
168	8400	41306
169	8455	41285
170	8493	41176
171	8538	41103
172	8579	41012
173	8631	40975
174	8670	40877
175	8719	40825
176	8766	40760
177	8818	40722
178	8865	40661
179	8906	40571
180	8947	40486
181	9001	40457
182	9049	40401
183	9100	40357
184	9162	40366
185	9205	40285
186	9254	40232
187	9299	40167
188	9359	40160
189	9413	40130
190	9452	40035
191	9502	39989
192	9559	39973
193	9605	39907
194	9648	39830
195	9693	39762
196	9742	39711
197	9802	39706
198	9851	39652
199	9906	39626
200	9952	39562
201	9999	39501
202	10049	39457
203	10104	39425
204	10134	39301
205	10173	39212
206	10207	39105
207	10245	39012
208	10288	38940
209	10350	38937
210	10401	38893
211	10448	38837
212	10489	38756
213	10541	38719
214	10606	38725
215	10652	38664
216	10721	38686
217	10766	38620
218	10832	38629
219	10901	38649
220	10980	38703
221	11049	38721
222	11106	38697
223	11168	38690
224	11226	38670
225	11349	38870
226	11405	38837
227	11469	38836
228	11545	38871
229	11609	38865
230	11651	38788
231	11692	38704
232	11750	38682
233	11796	38614
234	11902	38745
235	11999	38847
236	12101	38959
237	12185	39015
238	12251	39009
239	12303	38962
240	12362	38935
241	12413	38881
242	12453	38796
243	12499	38729
244	12536	38633
245	12599	38618
246	12646	38553
247	12694	38494
248	12758	38479
249	12817	38452
250	12863	38385
251	12894	38274
252	12963	38276
253	12999	38181
254	13066	38175
255	13107	38094
256	13150	38018
257	13206	37982
258	13289	38020
259	13314	37896
260	13335	37758
261	13357	37624
262	13380	37495
263	13399	37357
264	13418	37216
265	13436	37076
266	13453	36934
267	13468	36787
268	13484	36642
269	13500	36502
270	13518	36364
271	13534	36223
272	13554	36095
273	13570	35956
274	13586	35820
275	13604	35687
276	13621	35554
277	13637	35418
278	13651	35279
279	13666	35142
280	13680	35005
281	13696	34872
282	13710	34737
283	13726	34605
284	13742	34475
285	13757	34344
286	13770	34210
287	13785	34080
288	13798	289	13807	33803
290	13869	33791
291	13922	33756
292	13967	33703
293	14014	33653
294	14048	33574
295	14093	33519
296	14161	33521
297	14202	33456
298	14262	33439
299	14324	33422
300	14363	33355
301	14401	33285
302	14436	33209
303	14484	33162
304	14545	33145
305	14586	33080
306	14630	33026
307	14679	32980
308	14719	32917
309	14776	32889
