age_group,employment_status,credit_score,diff_income_to_expenses,debt_to_income_ratio,loan_approval_status
Middle Adult,Employed,743,9125.416666666666,0.141685906462427,1
Middle Adult,Employed,468,-2277.5,0.8657499291182308,0
Middle Age,Self-Employed,389,-1135.0833333333335,0.4979687219126371,0
Middle Adult,Self-Employed,778,8755.75,0.2075254074992927,1
Middle Adult,Employed,752,5164.75,0.10739667045857644,1
Middle Age,Employed,793,9471.666666666666,0.029811477385319873,1
Middle Age,Employed,707,9154.166666666666,0.23422517158015999,1
Middle Age,Employed,349,368.75,0.4915760824191421,0
Middle Adult,Self-Employed,803,7624.5,0.11461365168631707,0
Early Retirement,Employed,599,-1328.8333333333335,0.5056352726324028,1
Middle Adult,Self-Employed,772,-413.16666666666697,0.40431680995061275,1
Middle Adult,Employed,311,2034.6666666666665,0.5399841297831071,0
Middle Age,Employed,332,746.1666666666665,0.2390884609521874,1
Middle Adult,Self-Employed,789,5663.833333333334,0.009092811186860322,1
Middle Adult,Employed,756,3550.833333333333,0.1718053801615478,1
Middle Adult,Employed,826,7432.833333333334,0.19053811872551663,1
Middle Age,Self-Employed,745,8927.666666666666,0.19913102358650264,1
Middle Adult,Employed,821,5091.666666666667,0.29488472229792334,1
Middle Age,Employed,806,7659.833333333334,0.048007392522404914,1
Middle Adult,Employed,843,5259.0,0.19462998947453647,1
Middle Adult,Employed,752,5024.75,0.38513646567681464,0
Middle Adult,Employed,815,6725.25,0.22018961143009746,0
Middle Adult,Employed,748,2998.666666666667,0.27694037867597693,1
Middle Age,Self-Employed,808,1913.166666666667,0.05895760322521146,0
Middle Adult,Unemployed,808,2555.166666666667,0.13394194141599894,1
Early Retirement,Employed,444,-1311.0,0.057463154593916585,1
Middle Adult,Employed,794,3266.916666666667,0.23692882907713878,1
Middle Age,Employed,741,1471.583333333333,0.0472533564079337,1
Middle Adult,Self-Employed,784,6205.0,0.015197045105956741,1
Middle Age,Self-Employed,839,3761.833333333334,0.012108085414957158,1
Middle Adult,Employed,742,4067.083333333333,0.19399997055922746,0
Middle Adult,Self-Employed,842,4349.833333333334,0.06754450572152262,1
Middle Adult,Employed,712,4389.5,0.1360733353480407,1
Early Retirement,Employed,391,-1137.3333333333335,0.4909197559831065,0
Middle Adult,Employed,510,395.5833333333335,0.484467066168543,0
Middle Age,Self-Employed,482,4654.916666666667,0.24774781594924827,0
Middle Adult,Employed,825,8172.666666666666,0.15098126035536766,1
Middle Adult,Unemployed,760,-11.16666666666697,0.26220009214303436,1
Middle Adult,Self-Employed,752,4205.916666666667,0.3015675400373493,1
Middle Age,Self-Employed,726,7035.75,0.06028669317745569,1
Middle Age,Employed,815,2379.75,0.4453550313176842,1
Middle Age,Self-Employed,843,1603.666666666667,0.08824052132701422,1
Middle Adult,Self-Employed,723,6274.5,0.16206896551724137,1
Early Retirement,Self-Employed,418,3798.916666666667,0.4051538587142072,0
Middle Adult,Self-Employed,812,8089.25,0.215703829711037,0
Middle Age,Self-Employed,741,5783.666666666666,0.14787936877417587,0
Middle Age,Self-Employed,828,5629.833333333334,0.04404717120005234,1
Middle Age,Self-Employed,794,1714.333333333333,0.5496958174904943,1
Middle Age,Self-Employed,847,3832.583333333333,0.013110826414654842,1
Middle Age,Employed,782,4802.25,0.30354278595343764,0
Early Retirement,Employed,548,942.6666666666667,0.7091452431635827,0
Middle Age,Employed,357,1035.0,0.4067659727207466,0
Young Adult,Unemployed,587,984.5,0.6894009500894565,1
Young Adult,Employed,511,514.5,0.4534595775673707,0
Middle Adult,Self-Employed,846,3432.916666666667,0.004480357170929556,1
Middle Adult,Employed,306,1753.3333333333335,0.11330701346957733,0
Middle Adult,Employed,720,6322.0,0.08747215850536884,1
Middle Age,Employed,756,6744.916666666666,0.11346024458780227,1
Middle Adult,Employed,788,9520.916666666666,0.07332433962659807,1
Middle Adult,Self-Employed,827,5369.583333333334,0.02999840133911359,0
Middle Adult,Employed,777,5828.75,0.06367771280051981,1
Middle Adult,Employed,849,10970.083333333334,0.12439324882015929,1
Middle Age,Employed,385,-9.666666666666515,0.21643377885783718,0
